neighbourhood,revMonth,count
Barking and Dagenham,1,419
Barking and Dagenham,2,377
Barking and Dagenham,3,479
Barking and Dagenham,4,586
Barking and Dagenham,5,686
Barking and Dagenham,6,739
Barking and Dagenham,7,892
Barking and Dagenham,8,811
Barking and Dagenham,9,468
Barking and Dagenham,10,563
Barking and Dagenham,11,463
Barking and Dagenham,12,474
Barnet,1,1823
Barnet,2,1833
Barnet,3,2180
Barnet,4,2526
Barnet,5,3104
Barnet,6,3762
Barnet,7,4280
Barnet,8,3523
Barnet,9,2475
Barnet,10,2714
Barnet,11,2177
Barnet,12,2257
Bexley,1,344
Bexley,2,357
Bexley,3,461
Bexley,4,529
Bexley,5,595
Bexley,6,718
Bexley,7,882
Bexley,8,712
Bexley,9,466
Bexley,10,506
Bexley,11,424
Bexley,12,432
Brent,1,2626
Brent,2,2603
Brent,3,3384
Brent,4,4156
Brent,5,5169
Brent,6,6767
Brent,7,6986
Brent,8,6329
Brent,9,3872
Brent,10,4454
Brent,11,3604
Brent,12,3645
Bromley,1,702
Bromley,2,665
Bromley,3,775
Bromley,4,1031
Bromley,5,1166
Bromley,6,1297
Bromley,7,1742
Bromley,8,1635
Bromley,9,1055
Bromley,10,1043
Bromley,11,780
Bromley,12,833
Camden,1,10831
Camden,2,11196
Camden,3,13078
Camden,4,14610
Camden,5,17018
Camden,6,18061
Camden,7,19640
Camden,8,17912
Camden,9,13109
Camden,10,13923
Camden,11,12438
Camden,12,12813
City of London,1,1152
City of London,2,1107
City of London,3,1209
City of London,4,1363
City of London,5,1503
City of London,6,1483
City of London,7,1622
City of London,8,1628
City of London,9,1137
City of London,10,1309
City of London,11,1063
City of London,12,1198
Croydon,1,1411
Croydon,2,1353
Croydon,3,1565
Croydon,4,1842
Croydon,5,2329
Croydon,6,2455
Croydon,7,3230
Croydon,8,2621
Croydon,9,1970
Croydon,10,2144
Croydon,11,1715
Croydon,12,1644
Ealing,1,2334
Ealing,2,2176
Ealing,3,2665
Ealing,4,3427
Ealing,5,4241
Ealing,6,5224
Ealing,7,5785
Ealing,8,5224
Ealing,9,3370
Ealing,10,3738
Ealing,11,2920
Ealing,12,2907
Enfield,1,824
Enfield,2,756
Enfield,3,864
Enfield,4,992
Enfield,5,1324
Enfield,6,1461
Enfield,7,1725
Enfield,8,1404
Enfield,9,1101
Enfield,10,1200
Enfield,11,869
Enfield,12,952
Greenwich,1,1936
Greenwich,2,1910
Greenwich,3,2548
Greenwich,4,3094
Greenwich,5,3332
Greenwich,6,3946
Greenwich,7,4394
Greenwich,8,3587
Greenwich,9,2882
Greenwich,10,3340
Greenwich,11,2777
Greenwich,12,2460
Hackney,1,6700
Hackney,2,6341
Hackney,3,7818
Hackney,4,9406
Hackney,5,11283
Hackney,6,12006
Hackney,7,13448
Hackney,8,12545
Hackney,9,8899
Hackney,10,9563
Hackney,11,7775
Hackney,12,8110
Hammersmith and Fulham,1,4775
Hammersmith and Fulham,2,4526
Hammersmith and Fulham,3,5817
Hammersmith and Fulham,4,7087
Hammersmith and Fulham,5,8363
Hammersmith and Fulham,6,9175
Hammersmith and Fulham,7,10456
Hammersmith and Fulham,8,8629
Hammersmith and Fulham,9,6494
Hammersmith and Fulham,10,7029
Hammersmith and Fulham,11,5906
Hammersmith and Fulham,12,6069
Haringey,1,2647
Haringey,2,2593
Haringey,3,3343
Haringey,4,3743
Haringey,5,4630
Haringey,6,4840
Haringey,7,5933
Haringey,8,4827
Haringey,9,3692
Haringey,10,4219
Haringey,11,3283
Haringey,12,3329
Harrow,1,440
Harrow,2,424
Harrow,3,590
Harrow,4,762
Harrow,5,860
Harrow,6,1244
Harrow,7,1319
Harrow,8,1064
Harrow,9,763
Harrow,10,725
Harrow,11,560
Harrow,12,563
Havering,1,263
Havering,2,300
Havering,3,344
Havering,4,350
Havering,5,466
Havering,6,504
Havering,7,647
Havering,8,581
Havering,9,402
Havering,10,438
Havering,11,340
Havering,12,343
Hillingdon,1,1238
Hillingdon,2,1071
Hillingdon,3,1452
Hillingdon,4,1584
Hillingdon,5,2041
Hillingdon,6,2337
Hillingdon,7,2660
Hillingdon,8,2307
Hillingdon,9,1814
Hillingdon,10,1733
Hillingdon,11,1386
Hillingdon,12,1335
Hounslow,1,1432
Hounslow,2,1494
Hounslow,3,1786
Hounslow,4,1921
Hounslow,5,2514
Hounslow,6,2926
