Date,Temperature (Celsius)
2024-11-20 17:20:09,25.68
2024-11-20 17:10:09,25.25
2024-11-20 17:00:09,25.27
2024-11-20 16:50:09,26.02
2024-11-20 16:40:09,25.49
2024-11-20 16:30:09,25.06
2024-11-20 16:20:09,25.77
2024-11-20 16:10:09,25.73
2024-11-20 16:00:09,25.94
2024-11-20 15:50:09,25.67
2024-11-20 15:40:09,25.95
2024-11-20 15:30:09,25.70
2024-11-20 15:20:09,25.96
2024-11-20 15:10:10,25.70
2024-11-20 15:00:08,25.35
2024-11-20 14:50:08,26.63
2024-11-20 14:40:08,26.54
2024-11-20 14:30:08,26.50
2024-11-20 14:20:08,26.43
2024-11-20 14:10:08,26.37
2024-11-20 14:00:08,26.30
2024-11-20 13:50:08,26.24
2024-11-20 13:40:08,26.15
2024-11-20 13:30:08,26.03
2024-11-20 13:20:08,25.82
2024-11-20 13:10:08,25.60
2024-11-20 13:00:08,25.41
2024-11-20 12:50:08,25.41
2024-11-20 12:40:08,25.42
2024-11-20 12:30:08,25.53
2024-11-20 12:20:08,25.57
2024-11-20 12:10:08,25.73
2024-11-20 12:00:08,25.94
2024-11-20 11:50:08,26.21
2024-11-20 11:40:08,26.12
2024-11-20 11:30:09,26.02
2024-11-20 11:20:08,25.77
2024-11-20 11:10:08,25.43
2024-11-20 11:00:08,25.18
2024-11-20 10:50:08,25.59
2024-11-20 10:40:08,25.81
2024-11-20 10:30:08,25.76
2024-11-20 10:20:08,25.72
2024-11-20 10:10:08,25.65
2024-11-20 10:00:08,25.60
2024-11-20 9:50:08,25.63
2024-11-20 9:40:08,25.66
2024-11-20 9:30:08,25.64
2024-11-20 9:20:08,25.60
2024-11-20 9:10:08,25.65
2024-11-20 9:00:08,25.60
2024-11-20 8:50:08,25.63
2024-11-20 8:40:08,25.61
2024-11-20 8:30:08,25.65
2024-11-20 8:20:08,25.61
2024-11-20 8:10:08,25.61
2024-11-20 8:00:08,25.64
2024-11-20 7:50:08,25.61
2024-11-20 7:40:08,25.63
2024-11-20 7:30:08,25.65
2024-11-20 7:20:08,25.59
2024-11-20 7:10:08,25.61
2024-11-20 7:00:08,25.61
2024-11-20 6:50:08,25.61
2024-11-20 6:40:08,25.58
2024-11-20 6:30:08,25.58
2024-11-20 6:20:08,25.58
2024-11-20 6:10:08,25.61
2024-11-20 6:00:08,25.65
2024-11-20 5:50:08,25.67
2024-11-20 5:40:08,25.66
2024-11-20 5:30:08,25.66
2024-11-20 5:20:08,25.63
2024-11-20 5:10:08,25.67
2024-11-20 5:00:08,25.67
2024-11-20 4:50:08,25.71
2024-11-20 4:40:08,25.72
2024-11-20 4:30:08,25.72
2024-11-20 4:20:08,25.75
2024-11-20 4:10:08,25.76
2024-11-20 4:00:08,25.73
2024-11-20 3:50:08,25.77
2024-11-20 3:40:08,25.78
2024-11-20 3:30:08,25.80
2024-11-20 3:20:08,25.78
2024-11-20 3:10:08,25.79
2024-11-20 3:00:08,25.82
2024-11-20 2:50:08,25.85
2024-11-20 2:40:08,25.92
2024-11-20 2:30:08,25.92
2024-11-20 2:20:08,25.95
2024-11-20 2:10:08,26.07
2024-11-20 2:00:08,26.13
2024-11-20 1:50:08,26.10
2024-11-20 1:40:08,26.08
2024-11-20 1:30:08,26.03
2024-11-20 1:20:08,26.02
2024-11-20 1:10:08,25.84
2024-11-20 1:00:08,25.71
2024-11-20 0:50:08,25.42
2024-11-20 0:40:09,25.21
2024-11-20 0:30:08,24.94
2024-11-20 0:20:08,25.49
2024-11-20 0:10:08,25.65
2024-11-20 0:00:08,25.47
2024-11-19 23:50:08,25.25
2024-11-19 23:40:08,25.76
2024-11-19 23:30:08,26.32
2024-11-19 23:20:08,26.30
2024-11-19 23:10:08,26.21
2024-11-19 23:00:08,26.02
2024-11-19 22:50:08,25.80
2024-11-19 22:40:08,25.49
2024-11-19 22:30:08,25.28
2024-11-19 22:20:08,25.06
2024-11-19 22:10:08,25.80
2024-11-19 22:00:08,25.78
2024-11-19 21:50:08,25.54
2024-11-19 21:40:08,25.30
2024-11-19 21:30:08,24.99
2024-11-19 21:20:08,25.55
2024-11-19 21:10:08,26.78
2024-11-19 21:00:08,26.77
2024-11-19 20:50:08,26.79
2024-11-19 20:40:08,26.80
2024-11-19 20:30:08,26.78
2024-11-19 20:20:08,26.75
2024-11-19 20:10:08,26.69
2024-11-19 20:00:08,26.70
2024-11-19 19:50:08,26.63
2024-11-19 19:40:08,26.51
2024-11-19 19:30:08,26.51
2024-11-19 19:20:08,26.52
2024-11-19 19:10:08,26.50
2024-11-19 19:00:09,26.47
2024-11-19 18:50:08,26.41
2024-11-19 18:40:08,26.35
2024-11-19 18:30:08,26.35
2024-11-19 18:20:08,26.31
2024-11-19 18:10:08,26.30
2024-11-19 18:00:08,26.31
2024-11-19 17:50:08,26.29
2024-11-19 17:40:08,26.29
2024-11-19 17:30:08,26.32
2024-11-19 17:20:08,26.37
2024-11-19 17:10:08,26.41
2024-11-19 17:00:08,26.45
2024-11-19 16:50:08,26.51
2024-11-19 16:40:08,26.55
2024-11-19 16:30:08,26.55
2024-11-19 16:20:08,26.55
2024-11-19 16:10:08,26.58
2024-11-19 16:00:08,26.57
2024-11-19 15:50:08,26.53
2024-11-19 15:40:08,26.54
2024-11-19 15:30:08,26.55
2024-11-19 15:20:08,26.53
2024-11-19 15:10:08,26.55
2024-11-19 15:00:08,26.42
2024-11-19 14:50:08,26.33
2024-11-19 14:40:08,26.30
2024-11-19 14:30:08,26.33
2024-11-19 14:20:08,26.66
2024-11-19 14:10:08,27.02
2024-11-19 14:00:08,27.08
2024-11-19 13:50:08,27.09
2024-11-19 13:40:08,27.06
2024-11-19 13:30:08,27.03
2024-11-19 13:20:08,27.04
2024-11-19 13:10:08,26.98
2024-11-19 13:00:08,26.98
2024-11-19 12:50:08,26.94
2024-11-19 12:40:08,26.91
2024-11-19 12:30:08,26.91
2024-11-19 12:20:08,26.97
2024-11-19 12:10:08,26.91
2024-11-19 12:00:08,26.87
2024-11-19 11:50:08,26.84
2024-11-19 11:40:08,26.85
2024-11-19 11:30:08,26.82
2024-11-19 11:20:08,26.82
2024-11-19 11:10:08,26.81
2024-11-19 11:00:08,26.82
2024-11-19 10:50:08,26.81
2024-11-19 10:40:08,26.80
2024-11-19 10:30:08,26.76
2024-11-19 10:20:08,26.76
2024-11-19 10:10:08,26.75
2024-11-19 10:00:08,26.74
2024-11-19 9:50:08,26.69
2024-11-19 9:40:08,26.69
2024-11-19 9:30:08,26.58
2024-11-19 9:20:08,26.61
2024-11-19 9:10:08,26.55
2024-11-19 9:00:08,26.56
2024-11-19 8:50:08,26.48
2024-11-19 8:40:08,26.44
2024-11-19 8:30:08,26.38
2024-11-19 8:20:08,26.33
2024-11-19 8:10:08,26.30
2024-11-19 8:00:08,26.25
2024-11-19 7:50:08,26.17
2024-11-19 7:40:08,26.11
2024-11-19 7:30:08,26.04
2024-11-19 7:20:08,25.94
2024-11-19 7:10:08,25.80
2024-11-19 7:00:08,25.78
2024-11-19 6:50:08,25.74
2024-11-19 6:40:08,25.68
2024-11-19 6:30:08,25.60
2024-11-19 6:20:08,25.53
2024-11-19 6:10:08,25.54
2024-11-19 6:00:08,25.56
2024-11-19 5:50:08,25.54
2024-11-19 5:40:08,25.54
2024-11-19 5:30:08,25.53
2024-11-19 5:20:08,25.59
2024-11-19 5:10:08,25.56
2024-11-19 5:00:08,25.58
2024-11-19 4:50:08,25.58
2024-11-19 4:40:08,25.58
2024-11-19 4:30:08,25.59
2024-11-19 4:20:08,25.64
2024-11-19 4:10:08,25.59
2024-11-19 4:00:08,25.62
2024-11-19 3:50:08,25.69
2024-11-19 3:40:08,25.68
2024-11-19 3:30:08,25.64
2024-11-19 3:20:08,25.65
2024-11-19 3:10:08,25.63
2024-11-19 3:00:08,25.68
2024-11-19 2:50:08,25.74
2024-11-19 2:40:08,25.68
2024-11-19 2:30:08,25.72
2024-11-19 2:20:08,25.71
2024-11-19 2:10:08,25.73
2024-11-19 2:00:08,25.74
2024-11-19 1:50:08,25.76
2024-11-19 1:40:08,25.77
2024-11-19 1:30:08,25.79
2024-11-19 1:20:08,25.79
2024-11-19 1:10:08,25.78
2024-11-19 1:00:08,25.82
2024-11-19 0:50:08,26.08
2024-11-19 0:40:08,26.08
2024-11-19 0:30:08,26.07
2024-11-19 0:20:08,26.03
2024-11-19 0:10:08,25.93
2024-11-19 0:00:08,25.85
2024-11-18 23:50:08,25.62
2024-11-18 23:40:08,26.05
2024-11-18 23:30:08,26.25
2024-11-18 23:20:08,26.29
2024-11-18 23:10:08,26.24
2024-11-18 23:00:08,26.17
2024-11-18 22:50:08,26.13
2024-11-18 22:40:08,26.08
2024-11-18 22:30:08,25.98
2024-11-18 22:20:08,25.86
2024-11-18 22:10:08,25.74
2024-11-18 22:00:08,25.48
2024-11-18 21:50:08,25.24
2024-11-18 21:40:08,25.23
2024-11-18 21:30:08,25.35
2024-11-18 21:20:08,25.38
2024-11-18 21:10:08,25.22
2024-11-18 21:00:08,25.00
2024-11-18 20:50:08,24.59
2024-11-18 20:40:08,24.17
2024-11-18 20:30:08,23.41
2024-11-18 20:20:08,24.03
2024-11-18 20:10:08,24.23
2024-11-18 20:00:08,23.77
2024-11-18 19:50:08,23.76
2024-11-18 19:40:08,24.75
2024-11-18 19:30:08,24.76
2024-11-18 19:20:08,24.35
2024-11-18 19:10:08,24.11
2024-11-18 19:00:08,24.05
2024-11-18 18:50:08,24.26
2024-11-18 18:40:08,24.36
2024-11-18 18:30:08,24.66
2024-11-18 18:20:08,24.56
2024-11-18 18:10:08,24.81
2024-11-18 18:00:08,25.76
2024-11-18 17:50:08,26.59
2024-11-18 17:40:08,26.57
2024-11-18 17:30:08,26.44
2024-11-18 17:20:08,26.32
2024-11-18 17:10:08,26.17
2024-11-18 17:00:08,25.81
2024-11-18 16:50:08,25.31
2024-11-18 16:40:08,24.61
2024-11-18 16:30:09,23.90
2024-11-18 16:20:08,24.43
2024-11-18 16:10:08,23.90
2024-11-18 16:00:08,24.33
2024-11-18 15:50:08,24.42
2024-11-18 15:40:08,24.05
2024-11-18 15:30:08,24.54
2024-11-18 15:20:08,24.33
2024-11-18 15:10:08,24.84
2024-11-18 15:00:08,25.86
2024-11-18 14:50:08,25.79
2024-11-18 14:40:08,25.49
2024-11-18 14:30:08,25.17
2024-11-18 14:20:08,26.32
2024-11-18 14:10:08,26.48
2024-11-18 14:00:08,26.45
2024-11-18 13:50:08,26.41
2024-11-18 13:40:08,26.44
2024-11-18 13:30:09,26.52
2024-11-18 13:20:08,26.61
2024-11-18 13:10:08,26.69
2024-11-18 13:00:08,26.73
2024-11-18 12:50:08,26.60
2024-11-18 12:40:08,26.57
2024-11-18 12:30:08,26.49
2024-11-18 12:20:08,26.45
2024-11-18 12:10:08,26.33
2024-11-18 12:00:08,26.27
2024-11-18 11:50:08,26.12
2024-11-18 11:40:08,25.95
2024-11-18 11:30:08,25.79
2024-11-18 11:20:08,25.53
2024-11-18 11:10:08,25.15
2024-11-18 11:00:08,24.62
2024-11-18 10:50:08,25.12
2024-11-18 10:40:08,26.30
2024-11-18 10:30:08,26.30
2024-11-18 10:20:08,26.26
2024-11-18 10:10:08,26.18
2024-11-18 10:00:08,26.18
2024-11-18 9:50:08,26.17
2024-11-18 9:40:08,26.13
2024-11-18 9:30:08,26.08
2024-11-18 9:20:08,26.05
2024-11-18 9:10:08,26.02
2024-11-18 9:00:08,25.99
2024-11-18 8:50:08,25.95
2024-11-18 8:40:08,25.94
2024-11-18 8:30:08,25.86
2024-11-18 8:20:08,25.85
2024-11-18 8:10:08,25.82
2024-11-18 8:00:08,25.80
2024-11-18 7:50:08,25.75
2024-11-18 7:40:08,25.76
2024-11-18 7:30:08,25.77
2024-11-18 7:20:08,25.79
2024-11-18 7:10:08,25.76
2024-11-18 7:00:08,25.77
2024-11-18 6:50:08,25.75
2024-11-18 6:40:08,25.79
2024-11-18 6:30:08,25.77
2024-11-18 6:20:08,25.80
2024-11-18 6:10:08,25.78
2024-11-18 6:00:08,25.80
2024-11-18 5:50:08,25.81
2024-11-18 5:40:08,25.82
2024-11-18 5:30:08,25.82
2024-11-18 5:20:08,25.84
2024-11-18 5:10:08,25.84
